Month,Vertical,Horizontal,Client,Project Id,Project Name,Grade,Onsite/Offshore,Count
Jan,BFS,Analytics,American Express,275,American Express_Analytics_project,Analyst,Onsite,2
Jan,BFS,Analytics,American Express,275,American Express_Analytics_project,Associate,Offshore,3
Jan,BFS,Analytics,American Express,275,American Express_Analytics_project,Contractor,Offshore,2
Jan,BFS,Analytics,American Express,275,American Express_Analytics_project,Manager,Offshore,2
Jan,BFS,Analytics,American Express,275,American Express_Analytics_project,Senior Manager,Offshore,1
Jan,BFS,Analytics,American Express,275,American Express_Analytics_project,Senior Manager,Onsite,1
Jan,BFS,Analytics,Bank of America Corp.,65,Bank of America Corp._Analytics_project,Analyst,Offshore,2
Jan,BFS,Analytics,Bank of America Corp.,65,Bank of America Corp._Analytics_project,Associate,Onsite,2
Jan,BFS,Analytics,Bank of America Corp.,65,Bank of America Corp._Analytics_project,Contractor,Offshore,5
Jan,BFS,Analytics,Bank of America Corp.,65,Bank of America Corp._Analytics_project,Contractor,Onsite,1
Jan,BFS,Analytics,Bank of America Corp.,65,Bank of America Corp._Analytics_project,Manager,Offshore,1
Jan,BFS,Analytics,Bank of America Corp.,65,Bank of America Corp._Analytics_project,Senior Associate,Offshore,1
Jan,BFS,Analytics,Citigroup,21,Citigroup_Analytics_project,Analyst,Offshore,4
Jan,BFS,Analytics,Citigroup,21,Citigroup_Analytics_project,Analyst,Onsite,1
Jan,BFS,Analytics,Citigroup,21,Citigroup_Analytics_project,Associate,Onsite,1
Jan,BFS,Analytics,Citigroup,21,Citigroup_Analytics_project,Contractor,Offshore,1
Jan,BFS,Analytics,Citigroup,21,Citigroup_Analytics_project,Contractor,Onsite,2
Jan,BFS,Analytics,Citigroup,21,Citigroup_Analytics_project,Director,Onsite,1
Jan,BFS,Analytics,Citigroup,21,Citigroup_Analytics_project,Manager,Offshore,1
Jan,BFS,Analytics,Citigroup,21,Citigroup_Analytics_project,Manager,Onsite,1
Jan,BFS,Analytics,Citigroup,21,Citigroup_Analytics_project,Senior Associate,Offshore,2
Jan,BFS,Analytics,Freddie Mac,135,Freddie Mac_Analytics_project,Analyst,Offshore,3
Jan,BFS,Analytics,Freddie Mac,135,Freddie Mac_Analytics_project,Analyst,Onsite,1
Jan,BFS,Analytics,Freddie Mac,135,Freddie Mac_Analytics_project,Manager,Offshore,1
Jan,BFS,Analytics,J.P. Morgan Chase,73,J.P. Morgan Chase_Analytics_project,Analyst,Offshore,2
Jan,BFS,Analytics,J.P. Morgan Chase,73,J.P. Morgan Chase_Analytics_project,Analyst,Onsite,2
Jan,BFS,Analytics,J.P. Morgan Chase,73,J.P. Morgan Chase_Analytics_project,Associate,Offshore,1
Jan,BFS,Analytics,J.P. Morgan Chase,73,J.P. Morgan Chase_Analytics_project,Associate,Onsite,2
Jan,BFS,Analytics,J.P. Morgan Chase,73,J.P. Morgan Chase_Analytics_project,Contractor,Offshore,4
Jan,BFS,Analytics,J.P. Morgan Chase,73,J.P. Morgan Chase_Analytics_project,Contractor,Onsite,2
Jan,BFS,Analytics,J.P. Morgan Chase,73,J.P. Morgan Chase_Analytics_project,Director,Onsite,1
Jan,BFS,Analytics,J.P. Morgan Chase,73,J.P. Morgan Chase_Analytics_project,Manager,Offshore,1
Jan,BFS,Analytics,J.P. Morgan Chase,73,J.P. Morgan Chase_Analytics_project,Senior Associate,Offshore,2
Jan,BFS,Analytics,Lehman Brothers Hldgs.,282,Lehman Brothers Hldgs._Analytics_project,Analyst,Offshore,2
Jan,BFS,Analytics,Lehman Brothers Hldgs.,282,Lehman Brothers Hldgs._Analytics_project,Analyst,Onsite,1
Jan,BFS,Analytics,Lehman Brothers Hldgs.,282,Lehman Brothers Hldgs._Analytics_project,Associate,Offshore,1
Jan,BFS,Analytics,Lehman Brothers Hldgs.,282,Lehman Brothers Hldgs._Analytics_project,Associate,Onsite,1
Jan,BFS,Analytics,Lehman Brothers Hldgs.,282,Lehman Brothers Hldgs._Analytics_project,Contractor,Offshore,1
Jan,BFS,Analytics,Lehman Brothers Hldgs.,282,Lehman Brothers Hldgs._Analytics_project,Director,Onsite,1
Jan,BFS,Analytics,Lehman Brothers Hldgs.,282,Lehman Brothers Hldgs._Analytics_project,Manager,Offshore,1
Jan,BFS,Analytics,Lehman Brothers Hldgs.,282,Lehman Brothers Hldgs._Analytics_project,Senior Associate,Offshore,3
Jan,BFS,Analytics,Lehman Brothers Hldgs.,282,Lehman Brothers Hldgs._Analytics_project,Senior Manager,Offshore,1
Jan,BFS,Analytics,Morgan Stanley,98,Morgan Stanley_Analytics_project,Analyst,Offshore,1
Jan,BFS,Analytics,Morgan Stanley,98,Morgan Stanley_Analytics_project,Analyst,Onsite,1
Jan,BFS,Analytics,Morgan Stanley,98,Morgan Stanley_Analytics_project,Associate,Offshore,1
Jan,BFS,Analytics,Morgan Stanley,98,Morgan Stanley_Analytics_project,Contractor,Offshore,2
Jan,BFS,Analytics,Morgan Stanley,98,Morgan Stanley_Analytics_project,Contractor,Onsite,1
Jan,BFS,Analytics,Morgan Stanley,98,Morgan Stanley_Analytics_project,Manager,Offshore,2
